frame.number	ip.src	ip.dst	ip.proto	icmp.type	icmp.code	igmp.type	igmp.maddr
1	198.18.130.1	224.0.0.22	2			0x22	239.1.1.1
2	198.18.130.1	224.0.0.22	2			0x22	239.1.1.1
3	198.18.130.1	224.0.0.22	2			0x22	239.1.1.1
4	198.18.130.1	224.0.0.22	2			0x22	239.1.1.1
