frame.number	ip.src	ip.dst	ip.proto	gre.proto	icmp.type
1	198.18.220.1,198.18.221.1	198.18.220.2,198.18.221.2	47,1	0x0800	8
2	198.18.220.2,198.18.221.2	198.18.220.1,198.18.221.1	47,1	0x0800	0
